setup,algorithm,trial,trial_seed,exact_trace,estimate,squared_error,relative_error,b_final,r_pilot_actual,q_0,q_adapt_raw,q_target,r_actual,ell_eff,guard_applied,guard_relaxed_for_pilot_floor,max_adjacent_log_gap,gap_location,stop_reason,query_count
Power-Law (c=2.0),Hutch++ (Standard),0,1000,1.6429360655148941,1.6432536156410555,1.0083808262513022e-07,0.00019328209589330222,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),1,1001,1.6429360655148941,1.6423516057094154,3.415932642202243e-07,0.00035574105270831213,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),2,1002,1.6429360655148941,1.6426963980200535,5.744050808317473e-08,0.00014587755413689844,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),3,1003,1.6429360655148941,1.6426642251605499,7.389717825000404e-08,0.00016546009309196665,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),4,1004,1.6429360655148941,1.643256739724516,1.0283194871655661e-07,0.00019518362056364393,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),5,1005,1.6429360655148941,1.642613342877923,1.041499004135704e-07,0.00019643042948840715,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),6,1006,1.6429360655148941,1.6429527949129055,2.798727578218004e-10,1.0182622661032303e-05,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),7,1007,1.6429360655148941,1.6427201817245827,4.660581091924036e-08,0.00013140121203912916,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),8,1008,1.6429360655148941,1.643153956184629,4.7476343957464876e-08,0.0001326227321368585,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),9,1009,1.6429360655148941,1.643190330596084,6.465073151248808e-08,0.00015476261464269307,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),10,1010,1.6429360655148941,1.6431523712437628,4.6788168341402184e-08,0.0001316580318667908,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),11,1011,1.6429360655148941,1.6426989346226406,5.6231060060951996e-08,0.000144333609341765,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),12,1012,1.6429360655148941,1.6425463103597893,1.5190908093081738e-07,0.00023723087178241246,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),13,1013,1.6429360655148941,1.6436376746589392,4.922553910076215e-07,0.00042704592027150015,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),14,1014,1.6429360655148941,1.643757522098188,6.747909182367243e-07,0.0004999930310960438,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),15,1015,1.6429360655148941,1.6430767671876194,1.979696070769327e-08,8.564038228790692e-05,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),16,1016,1.6429360655148941,1.643129601235457,3.745607513380462e-08,0.00011779869261209243,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),17,1017,1.6429360655148941,1.6424711594771066,2.1613762397125613e-07,0.00028297268989696295,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),18,1018,1.6429360655148941,1.64395200205727,1.0321270581346206e-06,0.0006183664499795786,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),19,1019,1.6429360655148941,1.64226521214877,4.500442388401133e-07,0.00040832591127878926,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),20,1020,1.6429360655148941,1.6424636058019602,2.2321818034564958e-07,0.00028757035824513474,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),21,1021,1.6429360655148941,1.6430229091531527,7.541817505993308e-09,5.2858805696373247e-05,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),22,1022,1.6429360655148941,1.6431851294650608,6.203285127262118e-08,0.00015159686088490914,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),23,1023,1.6429360655148941,1.6431744270579907,5.68162252273601e-08,0.00014508266517469762,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
Power-Law (c=2.0),Hutch++ (Standard),24,1024,1.6429360655148941,1.6432939950101961,1.2811352360714493e-07,0.00021785966162342783,0,0,53,53,53,53,54,False,False,,0,not_applicable,160
